45	59	95
94	40	62
94	38	64
45	59	90
45	57	87
45	59	90
94	40	70
94	39	63
45	59	96
45	55	85
45	60	89
94	39	62
94	41	73
45	59	89
45	59	95
45	59	89
94	41	68
94	40	62
45	60	88
45	57	87
1	47	99
1	37	97
1	47	99
1	36	98
1	47	99
1	47	98
1	47	99
1	47	97
1	47	99
1	47	99
2	95	100
26	87	98
2	100	96
26	90	99
26	87	98
2	93	96
2	100	96
26	87	98
26	87	98
26	87	98
4	85	96
4	85	96
96	38	58
45	59	89
45	59	95
45	59	89
4	85	96
94	40	62
45	56	88
45	57	84
97	40	65
83	41	58
94	39	73
81	42	77
81	44	79
95	41	70
98	38	63
83	47	92
86	40	58
89	41	69
96	41	79
91	41	74
87	41	53
76	45	89
100	37	58
88	39	59
83	40	63
87	39	53
87	41	89
92	41	75
